Country,Popular Prefixes (%),Popular Domains (%)
bahamas,92.5,94.44444444444444
switzerland,97.23756906077348,98.5142857142857
estonia,89.20863309352518,97.33102253032929
lithuania,90.96573208722741,96.11752360965372
sweden,89.171974522293,95.28650646950092
netherlands,66.46942800788955,80.8501491604028
