Range,Count,Ratio
0-100,21,0.029005524861878452
100-1000,103,0.14226519337016574
1000-10000,150,0.20718232044198895
10000-100000,216,0.2983425414364641
100000-1000000,214,0.2955801104972376
No Popularity (-1),20,0.027624309392265192
