Range,Count,Ratio
0-100,16,0.025477707006369428
100-1000,50,0.07961783439490445
1000-10000,90,0.14331210191082802
10000-100000,180,0.28662420382165604
100000-1000000,224,0.35668789808917195
No Popularity (-1),68,0.10828025477707007
