Range,Count,Ratio
0-100,13,0.040498442367601244
100-1000,68,0.2118380062305296
1000-10000,67,0.2087227414330218
10000-100000,75,0.2336448598130841
100000-1000000,69,0.21495327102803738
No Popularity (-1),29,0.09034267912772585
