Range,Count,Ratio
0-100,33,0.008136094674556213
100-1000,213,0.05251479289940828
1000-10000,522,0.128698224852071
10000-100000,886,0.21844181459566075
100000-1000000,1042,0.2569033530571992
No Popularity (-1),1360,0.33530571992110453
