Range,Count,Ratio
0-100,7,0.025179856115107913
100-1000,56,0.2014388489208633
1000-10000,62,0.22302158273381295
10000-100000,62,0.22302158273381295
100000-1000000,61,0.21942446043165467
No Popularity (-1),30,0.1079136690647482
